SUM of number;tinh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;(blank);Vĩnh Phúc;Vĩnh Long;Trà Vinh;Thanh Hóa;Thanh Hoá;Thái Bình;TP. Hồ Chí Minh;Tiền Giang;Tây Ninh;Sóc Trăng;Quảng Ngãi;Quảng Nam;Phú Yên;Nghệ An;Ninh Thuận;Nam Định;Long An;Lâm Đồng;Lào Cai;Lạng Sơn;Khánh Hòa;Khánh Hoà;Kiên Giang;Hưng Yên;Huế;Hậu Giang;Hải Phòng;Hà Tĩnh;Hà Nội;Hà Nam;Gia Lai;Đồng Tháp;Đồng Nai;Đắk Nông;Đắk Lắk;Đắc Lắk;Đà Nẵng;Cần Thơ;Cà Mau;Bình Thuận;Bình Phước;Bình Định;Bình Dương;Bến Tre;Bắc Ninh;Bắc Kạn;Bắc Giang;Bạc Liêu;Bà Rịa – Vũng Tàu;Bà Rịa - Vũng Tàu;An Giang;Grand Total
(blank);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/07/2021;;1;17;3;;;;2002;;;4;4;;48;;17;;41;1;;;22;;;22;;;;;18;;;99;132;1;1;;33;11;1;17;13;1;122;30;3;;1;;;17;8;2690
14/07/2021;;1;17;2;;;;2229;115;4;13;4;;32;4;4;;;1;1;1;;44;11;;3;;;1;5;;;133;118;;;;15;8;1;9;1;1;73;46;3;;3;;19;;2;2924
13/07/2021;;;23;3;1;;;1797;;5;;2;;26;1;;1;130;;1;;;;3;8;;;;;8;;;31;12;;;;4;5;;2;1;;186;11;2;;2;;27;;4;2296
12/07/2021;;1;26;8;2;;;1764;118;3;5;7;;30;1;;2;;;;;31;27;;7;1;8;;;29;;;40;82;1;;;14;;;;8;;128;;4;;7;2;;;11;2367
11/07/2021;;;43;2;1;;;1397;46;;3;2;1;36;;4;;46;2;;;;;;3;;9;1;2;7;;;50;;1;;;6;1;1;2;2;2;234;7;10;;13;1;;3;7;1945
10/07/2021;;1;26;2;2;1;2;1320;75;4;7;14;;33;;1;;33;;;;28;;1;7;;;;1;7;1;;58;37;;;;;;2;;8;2;140;2;2;;4;1;12;;10;1844
09/07/2021;;2;;8;1;;;1229;34;;2;7;;28;1;;;77;1;;;29;;;8;;4;;;2;;1;32;32;1;;;1;6;;;1;;73;;15;;10;2;;4;5;1616
08/07/2021;;;17;2;;;;915;;1;;14;;24;1;;;;3;;;28;;1;2;;1;;;5;;3;108;;;;;;;11;1;3;1;135;1;8;;9;2;;;11;1307
07/07/2021;;10;48;6;2;;;915;36;;;26;;28;4;;;38;;;;82;;;10;;;;2;6;;;10;4;;2;;;;2;;;;120;;12;;10;;2;2;;1377
06/07/2021;;;2;2;;4;;710;;;;;;41;3;;;14;;;2;;;;6;;;;;12;2;;99;11;;;;;;;;;;92;;3;;5;;;;11;1019
05/07/2021;;;3;;;;;641;11;3;1;4;;40;1;;;15;1;;1;18;;;9;;;;2;;;;165;9;;;;;;;;4;3;131;;4;;7;;4;;12;1089
04/07/2021;;;2;1;;;;599;29;2;;8;;32;3;1;;72;;;;;9;;;1;;2;2;;;;6;;;;;1;;;;;4;87;1;;;3;;;2;6;873
03/07/2021;;;3;2;;;;714;12;;;16;;37;14;;;2;4;;;1;;;10;;;;;;;;12;32;;;1;;;;;1;5;38;;2;;;3;;4;1;914
02/07/2021;;;3;1;;;;419;;2;;10;;40;3;;;7;1;;;1;;;3;;;1;1;;;;3;5;;;;3;;;;1;;13;;2;;2;;;;6;527
01/07/2021;;;1;;;;;464;38;;;9;;26;3;;;28;;;;;;;11;;;;5;;;;1;;;;;3;;;;1;;90;;3;;5;;;;5;693
30/06/2021;;;;;;;;249;;;;10;;27;8;;;1;;;;;;;9;;;1;;;;;5;12;;;;2;;;;;4;81;;8;1;13;;;6;4;441
29/06/2021;;;1;1;;;;155;22;;;21;;20;14;;;12;;;2;;;;15;;;2;12;;;;22;4;;;;;;;1;;;24;;5;;27;;;1;;361
Grand Total;;16;232;43;9;5;2;17519;536;24;35;158;1;548;61;27;3;516;14;2;6;240;80;16;130;5;22;7;28;99;3;4;874;490;4;3;1;82;31;18;32;44;23;1767;98;86;1;121;11;64;39;103;24283
